end_char,label,name,start_char,text
246,ORG,Spares Manufacturing Department,215,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
286,GPE,Vivanta,279,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
310,ORG,Taj - Madikeri Coorg,290,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
385,TIME,02:00 PM,378,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
429,TIME,12:00 PM,421,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
445,CARDINAL,1,444,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
539,PERSON,Arun Gadamshetty  ,521,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
572,DATE,34 years 2,562,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
600,PERSON,SHWETA GADAMSHETTY,582,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
635,DATE,28 years,627,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
129,FAC,Taj Mahal,120,"Dear Gampa ji,   Greetings of the day !   Lerner Group x 6 pax    Please confirm 3 double room @8000 CPAI at your hotel Taj Mahal, New Delhi from 24/26 Dec 2018.  Kindly revert with confirmation "
140,GPE,New Delhi,131,"Dear Gampa ji,   Greetings of the day !   Lerner Group x 6 pax    Please confirm 3 double room @8000 CPAI at your hotel Taj Mahal, New Delhi from 24/26 Dec 2018.  Kindly revert with confirmation "
160,DATE,24/26 Dec 2018,146,"Dear Gampa ji,   Greetings of the day !   Lerner Group x 6 pax    Please confirm 3 double room @8000 CPAI at your hotel Taj Mahal, New Delhi from 24/26 Dec 2018.  Kindly revert with confirmation "
220,DATE,9th DECEMBER 2018 ,202,"Dear Reservation Dept,   Greetings from Kuala Lumpur!  We would like to receive a quote for the following details:   a)      DELUXE DELIGHT ROOM QUEEN BED WITH BREAKFAST  -          1 room   Check in  – 9th DECEMBER 2018    Check out – 11th DECEMBER 2018      Hope to hear from you soon.  "
240,DATE,11th DECEMBER 2018,235,"Dear Reservation Dept,   Greetings from Kuala Lumpur!  We would like to receive a quote for the following details:   a)      DELUXE DELIGHT ROOM QUEEN BED WITH BREAKFAST  -          1 room   Check in  – 9th DECEMBER 2018    Check out – 11th DECEMBER 2018      Hope to hear from you soon.  "
83,ORG,Star,79,"Dear Team,   Please cancel the attached booking without any charges as per the Star policy  "
36,FAC,Lake Palace,25,i want to book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
75,DATE,31st December 2018,57,i want to book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
104,DATE,1st January 2019,88,i want to book a room at Lake Palace  Check in date is - 31st December 2018 check out - 1st January 2019
55,LOC,the Taj Mahal,42,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
65,GPE,Mumbai,59,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
124,GPE,Mumbai,118,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
285,DATE,101010203753,273,"Dear Team Inner Circle, I plan to stay at the Taj Mahal in Mumbai on the night of November 30. I would be attending a Mumbai 2.0 programme at the hotel on December 1 (invitation attached). I would request you to check if I could redeem a Room Stay on my Inner Circle card (101010203753) for the same."
57,ORG,ABB,54,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
77,GPE,Bangalore,68,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
159,DATE,Monday 26 November to Thursday 29 November,117,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
166,CARDINAL,1,165,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
210,ORG,Airport Limousine,193,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
242,FAC,Bengaluru Airport,225,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
274,CARDINAL,61 428 856 843,264,"  Hi,   Your hotel was recommended to me by the local ABB office in Bangalore. I want to check room availability for Monday 26 November to Thursday 29 November, for 1 person. I’m also after an Airport Limousine transfer from Bengaluru Airport.   I’m available on +61 428 856 843 if you want to call me.   Looking forward to hearing back from you "
114,GPE,Dubai,109,"Dear Reservation Center, Good Day,   I would like to ask if you have an airline staff rates at your hotel in Dubai for 1 room from 28 November – 01 December 2018 for (3 Adults)  "
120,CARDINAL,1,119,"Dear Reservation Center, Good Day,   I would like to ask if you have an airline staff rates at your hotel in Dubai for 1 room from 28 November – 01 December 2018 for (3 Adults)  "
161,DATE,28 November – 01 December 2018,131,"Dear Reservation Center, Good Day,   I would like to ask if you have an airline staff rates at your hotel in Dubai for 1 room from 28 November – 01 December 2018 for (3 Adults)  "
168,QUANTITY,3,167,"Dear Reservation Center, Good Day,   I would like to ask if you have an airline staff rates at your hotel in Dubai for 1 room from 28 November – 01 December 2018 for (3 Adults)  "
50,CARDINAL,4,49,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
70,DATE,"12th Jan, 2019",56,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
88,ORDINAL,"15th Jan, 2019",74,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
91,CARDINAL,2,90,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
104,CARDINAL,2,103,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
113,QUANTITY,16,111,"  Hi - Looking for accommodation for a family of 4 from 12th Jan, 2019 to 15th Jan, 2019. 2 adults and 2 kids (16 and 9).   Could you please share the available options and best rates (corporate discount, if any)?  "
16,PERSON,Charunya,8,"  Dear  Charunya,    Thank you for your email. I am not sure the ones you sent would fit a family of 4.    When you say Queen bed or Kind bed is it one bed in the room or two?  "
102,CARDINAL,4,101,"  Dear  Charunya,    Thank you for your email. I am not sure the ones you sent would fit a family of 4.    When you say Queen bed or Kind bed is it one bed in the room or two?  "
174,CARDINAL,two,171,"  Dear  Charunya,    Thank you for your email. I am not sure the ones you sent would fit a family of 4.    When you say Queen bed or Kind bed is it one bed in the room or two?  "
66,CARDINAL,3,65,"Dear Shaoib,   We would like to proceed with the reservations of 3 superior rooms with King bed.    Just a couple of more questions:    - Could we fit an extra bed (with additional cost) in the room? - Could the hotel arrange airport transfer at 2.30am?  - As we will leave at 2.30am we will not have breakfast, do you have a rate that does not include breakfast?  "
252,TIME,2.30am,246,"Dear Shaoib,   We would like to proceed with the reservations of 3 superior rooms with King bed.    Just a couple of more questions:    - Could we fit an extra bed (with additional cost) in the room? - Could the hotel arrange airport transfer at 2.30am?  - As we will leave at 2.30am we will not have breakfast, do you have a rate that does not include breakfast?  "
283,TIME,2.30am,277,"Dear Shaoib,   We would like to proceed with the reservations of 3 superior rooms with King bed.    Just a couple of more questions:    - Could we fit an extra bed (with additional cost) in the room? - Could the hotel arrange airport transfer at 2.30am?  - As we will leave at 2.30am we will not have breakfast, do you have a rate that does not include breakfast?  "
50,GPE,Dubai,45,  Hi   the Taj Hotel I am referring to is in Dubai.  
13,PERSON,Gaurav,7,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
58,DATE,2 nights,50,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
72,PERSON,Taj Agauda,62,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
97,DATE,17th April 2019,82,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
116,DATE,19th April 2019,101,"  Dear Gaurav,   Would like to know a package for 2 nights in Taj Agauda starting 17th April 2019 to 19th April 2019.     "
13,PERSON,Mahesh,7,"  Dear Mahesh,   Many thanks for your e-mail.   The Hotel is The Taj Cape Town. "
78,FAC,Taj Cape Town,65,"  Dear Mahesh,   Many thanks for your e-mail.   The Hotel is The Taj Cape Town. "
182,PERSON,Shevawn Barder,168,"  Hi,   The payment link has expired. Please see below. Could you please send me new credit card authorization Letter along with the payment link for reservation under Shevawn Barder. Booking Confirmation No: CRS-75764SB021202 "
226,PERSON,CRS-75764SB021202,209,"  Hi,   The payment link has expired. Please see below. Could you please send me new credit card authorization Letter along with the payment link for reservation under Shevawn Barder. Booking Confirmation No: CRS-75764SB021202 "
