,end_char,label,name,start_char,text
33,310,GPE,Coorg,305,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
34,327,ORG,Coorg Room Type,312,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
35,363,TIME,Date-Time,354,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
36,377,DATE,10 Dec 2018,366,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
37,411,CARDINAL,12,409,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
38,420,DATE,Dec 2018,412,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
39,429,TIME,12:00 PM,421,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
40,445,CARDINAL,1,444,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
41,483,GPE,Honeymoon,474,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
42,500,ORG,  Traveller,489,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
43,511,CARDINAL,1,510,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
44,539,PERSON,Arun Gadamshetty  ,521,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
45,572,DATE,34 years 2,562,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
46,588,ORG,SHWETA,582,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
47,635,DATE,28 years,627,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
48,818,ORG,  ,816,"  As per corporate holiday plan, kindly arrange to book the following accommodation in your Hotel/Resort as per details given below: Serial number : TEHP/18/12809 Name : Arun Gadamshetty P No. : 153021 Department : Spares Manufacturing Department Contact No : 8092084556 Place : Vivanta by Taj - Madikeri Coorg, Coorg Room Type : Superior Charm Check In Date-Time : 10 Dec 2018 02:00 PM Check Out Date-Time : 12 Dec 2018 12:00 PM No of rooms : 1 Comments by requester : For Honeymoon trip   Traveller Details: 1.  Name : Arun Gadamshetty  Relation : Self  Age : 34 years 2.  Name : SHWETA GADAMSHETTY  Relation : Spouse  Age : 28 years   As agreed upon, other than the complimentary, all other expenses will be settled directly by our guests.   No bills will be entertained by us until it bears the guest signature.   Kindly confirm the booking at the earliest with a copy to the party. Please mention the contracted room tariff/package rate, while sending the confirmation. "
49,13,PERSON,Gampa ji,5,"Dear Gampa ji,   Greetings of the day !   Lerner Group x 6 pax    Please confirm 3 double room @8000 CPAI at your hotel Taj Mahal, New Delhi from 24/26 Dec 2018.  Kindly revert with confirmation "
50,26,ORG,  Greetings,15,"Dear Gampa ji,   Greetings of the day !   Lerner Group x 6 pax    Please confirm 3 double room @8000 CPAI at your hotel Taj Mahal, New Delhi from 24/26 Dec 2018.  Kindly revert with confirmation "
51,54,ORG,Lerner Group,42,"Dear Gampa ji,   Greetings of the day !   Lerner Group x 6 pax    Please confirm 3 double room @8000 CPAI at your hotel Taj Mahal, New Delhi from 24/26 Dec 2018.  Kindly revert with confirmation "
52,58,CARDINAL,6,57,"Dear Gampa ji,   Greetings of the day !   Lerner Group x 6 pax    Please confirm 3 double room @8000 CPAI at your hotel Taj Mahal, New Delhi from 24/26 Dec 2018.  Kindly revert with confirmation "
53,82,CARDINAL,3,81,"Dear Gampa ji,   Greetings of the day !   Lerner Group x 6 pax    Please confirm 3 double room @8000 CPAI at your hotel Taj Mahal, New Delhi from 24/26 Dec 2018.  Kindly revert with confirmation "
